iter	Passed	Remaining
0	5	1879
1	10	1914
2	14	1733
3	17	1583
4	21	1549
5	27	1678
6	33	1731
7	38	1732
8	43	1733
9	48	1735
10	52	1697
11	56	1693
12	60	1675
13	64	1641
14	68	1618
15	72	1610
16	76	1597
17	81	1584
18	85	1571
19	89	1570
20	94	1564
21	98	1556
22	103	1565
23	108	1558
24	112	1553
25	116	1542
26	121	1548
27	126	1543
28	130	1535
29	135	1534
30	139	1530
31	143	1514
32	146	1498
33	150	1491
34	155	1490
35	160	1487
36	164	1481
37	169	1484
38	173	1475
39	177	1468
40	182	1466
41	186	1456
42	189	1443
43	193	1431
44	198	1430
45	201	1419
46	204	1407
47	208	1395
48	211	1386
49	215	1381
50	220	1380
51	224	1375
52	229	1375
53	234	1371
54	238	1368
55	242	1361
56	247	1357
57	251	1352
58	254	1342
59	258	1335
60	262	1329
61	265	1321
62	269	1313
63	272	1304
64	277	1302
65	281	1295
66	284	1288
67	288	1279
68	291	1272
69	295	1265
70	298	1257
71	302	1251
72	306	1247
73	310	1241
74	313	1233
75	317	1229
76	321	1224
77	325	1219
78	329	1214
79	333	1208
80	337	1204
81	341	1200
82	345	1194
83	348	1187
84	352	1180
85	356	1176
86	360	1171
87	363	1165
88	367	1158
89	371	1154
90	374	1149
91	378	1143
92	381	1137
93	385	1133
94	390	1129
95	394	1125
96	397	1120
97	401	1115
98	405	1110
99	409	1104
100	412	1098
101	416	1093
102	419	1087
103	423	1081
104	427	1078
105	431	1073
106	434	1067
107	437	1061
108	441	1057
109	445	1053
110	449	1048
111	452	1042
112	456	1037
113	460	1033
114	463	1028
115	467	1022
116	470	1017
117	474	1012
118	478	1008
119	481	1003
120	484	997
121	488	993
122	492	989
123	496	984
124	499	979
125	503	975
126	507	971
127	511	967
128	514	961
129	518	956
130	522	953
131	526	949
132	530	944
133	533	939
134	537	935
135	541	931
136	544	926
137	548	921
138	552	917
139	556	913
140	559	909
141	563	904
142	566	899
143	571	896
144	575	892
145	579	888
146	583	884
147	587	881
148	591	877
149	596	874
150	600	871
151	604	867
152	608	863
153	612	858
154	616	854
155	620	851
156	624	846
157	627	842
158	632	839
159	636	835
160	640	830
161	643	826
162	647	822
163	651	817
164	654	813
165	657	808
166	661	803
167	666	801
168	669	796
169	673	791
170	677	788
171	683	786
172	687	782
173	691	779
174	696	775
175	701	773
176	705	769
177	709	765
178	713	761
179	718	758
180	721	753
181	726	750
182	730	746
183	734	742
184	738	738
185	744	736
186	748	732
187	753	729
188	757	725
189	761	721
190	766	718
191	770	714
192	774	710
193	779	706
194	783	703
195	787	699
196	792	696
197	797	693
198	802	689
199	806	685
200	812	683
201	816	679
202	820	675
203	825	671
204	830	668
205	833	663
206	838	660
207	843	656
208	847	652
209	851	648
210	856	645
211	861	641
212	864	637
213	869	633
214	873	629
215	877	625
216	880	620
217	885	617
218	890	613
219	893	609
220	897	605
221	901	601
222	905	596
223	910	593
224	914	589
225	918	585
226	922	581
227	927	577
228	932	574
229	942	573
230	949	571
231	954	568
232	960	564
233	965	560
234	969	556
235	973	552
236	977	548
237	982	545
238	987	541
239	992	537
240	997	533
241	1002	529
242	1006	525
243	1012	522
244	1016	518
245	1021	515
246	1026	511
247	1030	506
248	1034	502
249	1040	499
250	1044	495
251	1048	491
252	1052	486
253	1057	483
254	1062	479
255	1066	475
256	1070	470
257	1075	466
258	1078	462
259	1082	458
260	1089	454
261	1094	450
262	1098	446
263	1102	442
264	1107	438
265	1111	434
266	1115	430
267	1120	426
268	1124	422
269	1129	418
270	1134	414
271	1139	410
272	1144	406
273	1148	402
274	1152	398
275	1156	393
276	1160	389
277	1164	385
278	1168	381
279	1172	376
280	1175	372
281	1181	368
282	1185	364
283	1189	360
284	1193	355
285	1197	351
286	1201	347
287	1205	343
288	1208	338
289	1212	334
290	1217	330
291	1220	326
292	1224	321
293	1228	317
294	1232	313
295	1236	309
296	1239	304
297	1243	300
298	1247	296
299	1251	291
300	1254	287
301	1258	283
302	1262	279
303	1265	274
304	1269	270
305	1272	266
306	1277	262
307	1280	257
308	1284	253
309	1287	249
310	1291	245
311	1295	240
312	1299	236
313	1303	232
314	1307	228
315	1310	224
316	1314	219
317	1317	215
318	1321	211
319	1325	207
320	1330	203
321	1333	198
322	1337	194
323	1341	190
324	1345	186
325	1350	182
326	1355	178
327	1359	174
328	1363	169
329	1366	165
330	1372	161
331	1376	157
332	1379	153
333	1384	149
334	1388	145
335	1391	140
336	1395	136
337	1398	132
338	1402	128
339	1405	124
340	1409	119
341	1412	115
342	1415	111
343	1419	107
344	1422	103
345	1426	98
346	1429	94
347	1433	90
348	1436	86
349	1439	82
350	1442	78
351	1445	73
352	1449	69
353	1452	65
354	1456	61
355	1459	57
356	1462	53
357	1466	49
358	1469	45
359	1472	40
360	1475	36
361	1479	32
362	1482	28
363	1485	24
364	1489	20
365	1492	16
366	1495	12
367	1499	8
368	1502	4
369	1505	0
